Supacollection				VLC hardware components
				
Supacollection result				LED Modulation software
112.0				"[1188.0, 8.0, 0.001, 0.76]"
104.648374037				1188.0
97.8054137843				956.069088902
91.4423308239				769.580419984
85.5333626002				619.69426605
80.055765381				499.314974617
74.9898051886				402.755826727
70.3187196416				325.470806403
66.0286089772				263.839652564
62.1081976143				214.993790444
58.5483933411				176.670305712
55.3415695994				147.079432451
52.4805227838				124.771476633
49.957126724				108.500289627
47.7608234047				97.1081874217
45.8772240164				89.4795857817
44.28718065				84.5820051659
42.9666480562				81.5455971975
41.8874589375				79.7110457417
41.0188552615				78.621870087
				77.9824106361
Cellphone leasing prices				
"[112.0, 15.0, 0.01, 0.85]"				White LED light bulbs
112.0				"[1188.0, 8.0, 0.074, 0.76]"
104.648374037				1188.0
97.8054137843				975.966068285
91.4423308239				812.16293626
85.5333626002				688.582769575
80.055765381				598.355816077
74.9898051886				535.111543763
70.3187196416				492.711027877
66.0286089772				465.461601957
62.1081976143				448.553848597
58.5483933411				438.332644259
55.3415695994				432.262047761
52.4805227838				428.697150736
49.957126724				426.618196636
47.7608234047				425.410840808
45.8772240164				424.711386606
44.28718065				424.306755009
42.9666480562				424.072872532
41.8874589375				423.937750763
41.0188552615				423.859708244
				423.814640391
				
				VLC hardware components result
				2376.0
				1932.03515719
				1581.74335624
				1308.27703562
				1097.67079069
				937.86737049
				818.18183428
				729.30125452
				663.547639041
				615.002949971
				579.341480212
				553.468627369
				535.118486262
				522.519028229
				514.190972388
				508.888760174
				505.61846973
				503.648796505
				502.481578331
				501.797051027
